"fine_grained_phenotyping_id","plant_phenotyping_id","node_sideshoot_location","panicle_location","bud_small_num","bud_big_num","bud_opened_num","flower_blooming_num","flower_wilted_num","fruit_nascent_num","fruit_small_num","fruit_bigger_num","fruit_ripe_num","panicle_leaf_num","pheno_date"
"58",17,"9","a",1,0,0,5,0,1,0,0,0,0,"2023-08-16"
"79",21,"11.1","a",2,0,0,0,0,0,0,0,0,0,"2023-08-16"
"125",46,"8","a",0,0,1,2,4,0,0,0,0,0,"2023-09-12"
"126",46,"11","a",3,1,0,2,0,0,0,0,0,0,"2023-09-12"
"128",47,"9","a",0,0,0,2,4,0,0,0,0,0,"2023-09-12"
"129",47,"12","a",0,1,2,3,0,0,0,0,0,0,"2023-09-12"
"130",47,"15","a",4,1,2,0,0,0,0,0,0,0,"2023-09-12"
"131",48,"10","a",0,0,1,3,3,0,0,0,0,0,"2023-09-12"
"90",27,"9","a",2,1,1,1,0,0,0,0,0,0,"2023-09-04"
"132",48,"13","a",0,2,3,0,0,0,0,0,0,0,"2023-09-12"
"80",22,"10","a",2,3,2,0,0,0,0,0,0,0,"2023-09-04"
"134",49,"14","a",2,0,0,2,0,0,0,0,0,0,"2023-09-12"
"54",16,"10","a",3,0,0,5,0,0,0,0,0,0,"2023-08-16"
"55",16,"13","a",4,0,0,5,0,0,0,0,0,0,"2023-08-16"
"135",49,"18","a",4,1,0,1,0,0,0,0,0,0,"2023-09-12"
"66",18,"9.1","a",11,0,0,4,0,0,0,0,0,0,"2023-08-16"
"72",20,"13","a",1,0,0,5,0,0,0,0,0,0,"2023-08-16"
"73",20,"16","a",9,0,0,1,0,0,0,0,0,0,"2023-08-16"
"74",20,"9.1","a",6,0,0,0,0,0,0,0,0,0,"2023-08-16"
"75",21,"9","a",4,0,0,5,0,0,0,0,0,0,"2023-08-16"
"76",21,"13","a",4,0,0,6,0,0,0,0,0,0,"2023-08-16"
"77",21,"15","a",5,0,0,0,0,0,0,0,0,0,"2023-08-16"
"43",13,"12","a",3,0,0,4,0,0,0,0,0,0,"2023-08-16"
"17",5,"15","a",6,0,0,0,0,0,0,0,0,0,"2023-08-16"
"18",5,"7.1","a",7,0,0,0,0,0,0,0,0,0,"2023-08-16"
"141",51,"11","a",3,2,1,0,0,0,0,0,0,0,"2023-09-12"
"246",103,"10.1","a",0,0,0,0,0,2,0,5,0,0,"2023-09-25"
"247",103,"13.1","a",0,0,0,0,2,1,0,4,0,0,"2023-09-25"
"248",104,"10.1","a",0,0,0,0,0,1,0,2,0,0,"2023-09-25"
"249",104,"13.1","a",0,0,0,0,0,1,0,3,0,0,"2023-09-25"
"250",105,"9.1","a",0,0,0,0,0,4,0,0,0,0,"2023-09-25"
"251",105,"12.1","A",0,0,0,0,2,2,0,0,0,0,"2023-09-25"
"252",106,"13.1","A",0,0,0,0,0,2,0,2,0,0,"2023-09-25"
"253",107,"7.1","A",0,0,0,0,0,0,0,0,0,0,"2023-09-25"
"254",107,"10.1","A",0,0,0,0,0,0,0,3,0,0,"2023-09-25"
"82",23,"10","a",2,2,0,0,0,0,0,0,0,0,"2023-09-04"
"86",25,"10","a",2,1,0,0,0,0,0,0,0,0,"2023-09-04"
"88",26,"10","a",4,1,0,0,0,0,0,0,0,0,"2023-09-04"
"81",22,"14","a",4,0,0,0,0,0,0,0,0,0,"2023-09-04"
"83",23,"13","a",4,0,0,0,0,0,0,0,0,0,"2023-09-04"
"84",24,"10","a",3,0,0,0,0,0,0,0,0,0,"2023-09-04"
"255",108,"9.1","A",0,0,0,0,0,0,0,3,0,0,"2023-09-25"
"256",108,"9.2","A",0,0,0,0,0,3,0,1,0,0,"2023-09-25"
"257",109,"11.1","a",0,0,0,0,0,4,0,3,0,0,"2023-09-25"
"258",109,"14.1","a",0,0,0,0,0,2,0,3,0,0,"2023-09-25"
"259",110,"11.1","a",0,0,0,0,0,5,0,1,0,0,"2023-09-25"
"260",110,"14.1","A",0,2,0,0,0,1,0,4,0,0,"2023-09-25"
"261",111,"10.1","a",0,0,0,0,0,2,0,2,0,0,"2023-09-25"
"124",45,"15","a",4,2,0,0,0,0,0,0,0,0,"2023-09-12"
"262",111,"14.1","A",0,0,0,0,2,0,0,1,0,0,"2023-09-25"
"263",112,"11.1","A",0,0,0,0,0,2,0,1,0,0,"2023-09-25"
"127",46,"15","a",3,2,0,0,0,0,0,0,0,0,"2023-09-12"
"264",112,"14.1","a",0,0,0,0,1,2,0,0,0,0,"2023-09-25"
"265",113,"15.1","a",2,0,0,0,0,0,0,0,0,0,"2023-09-25"
"166",62,"10.1","A",0,0,0,0,1,1,0,5,0,0,"2023-09-21"
"266",114,"11.1","a",0,0,0,0,2,1,0,2,0,0,"2023-09-25"
"267",114,"14.1","a",0,0,0,0,0,4,0,0,0,0,"2023-09-25"
"133",48,"16","a",3,0,0,0,0,0,0,0,0,0,"2023-09-12"
"268",115,"10.1","a",0,0,0,0,0,1,0,2,0,0,"2023-09-25"
"269",115,"13.1","a",0,0,0,0,0,3,0,3,0,0,"2023-09-25"
"136",49,"22","a",4,0,0,0,0,0,0,0,0,0,"2023-09-12"
"167",62,"13.1","a",0,0,0,0,2,1,0,4,0,0,"2023-09-21"
"71",20,"10","a",1,0,0,5,0,1,0,0,0,0,"2023-08-16"
"67",19,"9","a",0,0,0,4,0,2,0,0,0,0,"2023-08-16"
"42",13,"8","a",0,0,0,5,0,1,0,0,0,0,"2023-08-16"
"28",9,"9","a",1,0,0,5,0,1,0,0,0,0,"2023-08-16"
"78",21,"8.1","a",3,0,0,3,0,0,0,0,0,0,"2023-08-16"
"64",18,"12","a",5,0,0,7,0,0,0,0,0,0,"2023-08-16"
"65",18,"8.1","a",4,0,0,0,0,0,0,0,0,0,"2023-08-16"
"68",19,"12","a",2,0,0,5,0,0,0,0,0,0,"2023-08-16"
"69",19,"15","a",1,0,0,6,0,0,0,0,0,0,"2023-08-16"
"26",8,"11","a",3,0,0,4,0,0,0,0,0,0,"2023-08-16"
"27",8,"14","a",6,0,0,1,0,0,0,0,0,0,"2023-08-16"
"30",9,"15","a",11,0,0,0,0,0,0,0,0,0,"2023-08-16"
"31",9,"8.1","a",6,0,0,3,0,0,0,0,0,0,"2023-08-16"
"32",10,"10","a",0,0,0,6,0,0,0,0,0,0,"2023-08-16"
"33",10,"13","a",2,0,0,4,0,0,0,0,0,0,"2023-08-16"
"34",10,"9.1","a",6,0,0,0,0,0,0,0,0,0,"2023-08-16"
"35",11,"9","a",4,0,0,0,0,0,0,0,0,0,"2023-08-16"
"36",11,"12","a",3,0,0,0,0,0,0,0,0,0,"2023-08-16"
"270",116,"9.1","a",0,0,0,0,0,5,0,2,0,0,"2023-09-25"
"271",116,"12.1","A",0,0,0,0,0,2,0,0,0,0,"2023-09-25"
"272",117,"10.1","a",0,0,0,0,1,4,0,3,0,0,"2023-09-25"
"155",57,"11","a",0,1,0,1,3,0,0,0,0,0,"2023-09-12"
"157",58,"9","a",0,0,0,0,3,2,0,0,0,0,"2023-09-12"
"158",58,"12","a",1,2,2,2,0,0,0,0,0,0,"2023-09-12"
"87",25,"12","a",4,0,0,0,0,0,0,0,0,0,"2023-09-04"
"97",30,"9","a",3,1,0,0,0,0,0,0,0,0,"2023-09-04"
"95",29,"14","a",3,0,0,0,0,0,0,0,0,0,"2023-09-04"
"96",29,"9.1","a",3,0,0,0,0,0,0,0,0,0,"2023-09-04"
"98",30,"13","a",3,0,0,0,0,0,0,0,0,0,"2023-09-04"
"99",31,"9","a",5,0,0,0,0,0,0,0,0,0,"2023-09-04"
"100",32,"9","a",4,0,0,0,0,0,0,0,0,0,"2023-09-04"
"273",118,"14.1","A",0,0,0,0,0,3,0,2,0,0,"2023-09-25"
"274",119,"10.1","a",0,0,0,0,0,3,0,3,0,0,"2023-09-25"
"275",119,"13.1","a",0,0,0,0,0,3,0,0,0,0,"2023-09-25"
"276",120,"9.1","a",0,0,0,0,1,1,0,3,0,0,"2023-09-25"
"277",120,"11.1","a",1,0,0,0,0,6,0,3,0,0,"2023-09-25"
"152",55,"0","a",0,0,0,0,0,0,0,0,0,0,"2023-09-12"
"37",11,"14","a",3,0,0,0,0,0,0,0,0,0,"2023-08-16"
"38",11,"7.1","a",4,0,0,0,0,0,0,0,0,0,"2023-08-16"
"39",12,"10","a",2,0,0,5,0,0,0,0,0,0,"2023-08-16"
"40",12,"13","a",3,0,0,4,0,0,0,0,0,0,"2023-08-16"
"41",12,"9.1","a",8,0,0,0,0,0,0,0,0,0,"2023-08-16"
