"phenotypingid","plant_id","plant_height","nodes_number","side_shoots_number","leaf_number","observe_date","trimmed"
"103",1,"150",13,0,7,"2023-09-25",True
"104",2,"150",13,0,7,"2023-09-25",True
"105",3,"150",13,0,9,"2023-09-25",True
"106",4,"150",14,0,9,"2023-09-25",True
"107",5,"150",9,0,11,"2023-09-25",True
"108",6,"150",15,0,7,"2023-09-25",True
"109",7,"150",15,0,8,"2023-09-25",True
"110",8,"150",15,0,7,"2023-09-25",True
"111",9,"150",13,0,5,"2023-09-25",True
"112",10,"150",13,0,7,"2023-09-25",True
"113",11,"150",17,0,5,"2023-09-25",True
"114",12,"150",14,0,10,"2023-09-25",True
"115",13,"150",14,0,6,"2023-09-25",True
"116",14,"150",13,0,8,"2023-09-25",True
"117",15,"150",15,0,8,"2023-09-25",True
"118",16,"150",15,0,11,"2023-09-25",True
"119",17,"150",15,0,11,"2023-09-25",True
"120",18,"150",12,0,7,"2023-09-25",True
"121",19,"150",14,0,13,"2023-09-25",True
"76",15,"150",15,0,8,"2023-09-21",True
"77",16,"150",15,0,11,"2023-09-21",True
"78",17,"150",15,0,11,"2023-09-21",True
"79",18,"150",12,0,7,"2023-09-21",True
"80",19,"150",14,0,13,"2023-09-21",True
"81",20,"150",13,0,7,"2023-09-21",True
"82",21,"150",15,0,10,"2023-09-21",True
"83",22,"150",15,0,16,"2023-09-21",True
"84",23,"150",14,0,13,"2023-09-21",True
"85",24,"150",11,0,12,"2023-09-21",True
"86",25,"150",14,0,14,"2023-09-21",True
"87",26,"150",14,0,24,"2023-09-21",True
"88",27,"150",14,0,18,"2023-09-21",True
"89",28,"150",17,0,15,"2023-09-21",True
"90",29,"150",20,0,23,"2023-09-21",True
"91",30,"150",15,0,15,"2023-09-21",True
"92",31,"150",16,0,20,"2023-09-21",True
"93",32,"150",14,0,15,"2023-09-21",True
"94",33,"150",15,0,16,"2023-09-21",True
"95",34,"150",13,0,20,"2023-09-21",True
"96",35,"150",9,0,9,"2023-09-21",True
"97",36,"150",17,0,20,"2023-09-21",True
"122",20,"150",13,0,7,"2023-09-25",True
"123",21,"150",15,0,10,"2023-09-25",True
"3",3,"104",15,10,36,"2023-08-16",False
"4",4,"113",17,7,35,"2023-08-16",False
"5",5,"97",17,10,46,"2023-08-16",False
"6",6,"151",18,7,37,"2023-08-16",False
"124",22,"150",16,0,17,"2023-09-25",True
"125",23,"150",15,0,15,"2023-09-25",True
"126",24,"100",12,0,12,"2023-09-25",True
"127",25,"150",15,0,16,"2023-09-25",True
"128",26,"150",15,0,16,"2023-09-25",True
"129",27,"150",15,0,22,"2023-09-25",True
"7",7,"139",17,12,57,"2023-08-16",False
"130",28,"150",16,0,18,"2023-09-25",True
"131",29,"150",22,0,24,"2023-09-25",True
"132",30,"150",16,0,13,"2023-09-25",True
"133",31,"150",16,0,21,"2023-09-25",True
"134",32,"150",15,0,15,"2023-09-25",True
"135",33,"150",16,0,19,"2023-09-25",True
"136",34,"150",14,0,22,"2023-09-25",True
"137",35,"100",10,0,9,"2023-09-25",True
"138",36,"150",19,0,23,"2023-09-25",True
"139",37,"150",19,0,18,"2023-09-25",True
"140",38,"150",15,0,16,"2023-09-25",True
"141",39,"150",13,0,13,"2023-09-25",True
"142",40,"150",16,0,26,"2023-09-25",True
"143",41,"150",14,0,14,"2023-09-25",True
"185",42,"24",5,0,7,"2023-09-28",False
"186",43,"21",6,0,7,"2023-09-28",False
"8",8,"98",14,11,58,"2023-08-16",False
"9",9,"134",17,9,49,"2023-08-16",False
"10",10,"114",16,10,58,"2023-08-16",False
"11",11,"97",14,10,57,"2023-08-16",False
"12",12,"116",16,11,49,"2023-08-16",False
"13",13,"207",16,9,42,"2023-08-16",False
"14",14,"120",15,11,66,"2023-08-16",False
"15",15,"106",15,12,55,"2023-08-16",False
"16",16,"113",17,10,56,"2023-08-16",False
"17",17,"116",16,12,66,"2023-08-16",False
"18",18,"126",16,13,70,"2023-08-16",False
"19",19,"119",17,10,54,"2023-08-16",False
"20",20,"109",17,12,51,"2023-08-16",False
"21",21,"135",16,10,60,"2023-08-16",False
"2",2,"132",17,7,52,"2023-08-16",False
"1",1,"131",17,9,53,"2023-08-16",False
"44",24,"99",12,10,12,"2023-09-12",False
"41",41,"90",11,5,16,"2023-09-04",False
