plant_id,transgene,date_in,date_out,cabin,art,accession,seed
1,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
2,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
3,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
4,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
5,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
6,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
7,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
8,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
9,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
10,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
11,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
12,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
13,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
14,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
15,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
16,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
17,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
18,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
19,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
20,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
21,FALSE,7/18/2023,10/5/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
22,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
23,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
24,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
25,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
26,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
27,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
28,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
29,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
30,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
31,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
32,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
33,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
34,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
35,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
36,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
37,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
38,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
39,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
40,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
41,FALSE,8/18/2023,11/30/2023,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
42,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
43,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
44,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
45,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
46,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
47,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
48,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
49,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
50,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
51,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
52,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
53,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
54,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
55,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
56,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
57,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
58,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
59,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
60,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
61,FALSE,9/25/2023,1/4/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
62,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
63,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
64,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
65,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
66,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
67,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
68,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
69,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
70,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
71,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
72,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
73,FALSE,10/6/2023,2/14/2024,H01504,Solanum lycopersicum,Money Maker,JKI Saatgut
